Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Square Enix,Life is Strange,2016,Adventure,0.11,0.16,0.05,0.05,0.37
Capcom,Resident Evil Zero,2016,Action-Adventure,0.07,0.18,0.07,0.05,0.37
Sega,Yakuza Kiwami 2,2017,Action,0.08,0.06,0.19,0.03,0.37
Focus Home Interactive,Vampyr,2018,Role-Playing,0.12,0.19,0,0.06,0.37
Capcom,Okami,2017,Action,0.16,0.12,0.03,0.06,0.36
City Interactive,Sniper: Ghost Warrior 3,2017,Shooter,0.14,0.15,0.03,0.06,0.36
Sega,Hokuto ga Gotoku,2018,Action,0.09,0.05,0.18,0.03,0.36
Namco Bandai Games,Sword Art Online: Lost Song,2015,Role-Playing,0.19,0.11,0,0.06,0.36
NIS America,Disgaea 5: Alliance of Vengeance,2015,Role-Playing,0.15,0.08,0.07,0.05,0.35
Tecmo Koei,Dead or Alive 5,2015,Fighting,0.09,0.13,0.09,0.04,0.35
Sony Interactive Entertainment,Gravity Rush 2,2017,Action-Adventure,0.13,0.05,0.13,0.04,0.35
NIS America,Odin Sphere: Leifthrasir,2016,Role-Playing,0.14,0.07,0.09,0.04,0.34
Focus Home Interactive,Divinity: Original Sin,2015,Role-Playing,0.13,0.13,0.04,0.05,0.34
Deep Silver,The King of Fighters XIV,2016,Fighting,0.21,0.02,0.06,0.05,0.34
Bethesda Softworks,Dishonored: Death of the Outsider,2017,Action,0.1,0.18,0,0.05,0.33
Sega,Valkyria Chronicles,2016,Role-Playing,0.14,0.08,0.08,0.04,0.33
Square Enix,Murdered: Soul Suspect,2014,Action-Adventure,0.09,0.17,0.02,0.05,0.33
505 Games,Payday 2,2015,Shooter,0.12,0.14,0,0.05,0.32
Konami Digital Entertainment,UEFA Euro 2016,2016,Sports,0,0.22,0.05,0.04,0.31
Capcom,DmC: Devil May Cry,2015,Action,0.12,0.13,0,0.05,0.31
Sega,Sonic Mania,2017,Platform,0.1,0.15,0.01,0.05,0.31
Namco Bandai Games,J Stars Victory Vs.,2015,Fighting,0.11,0.14,0,0.05,0.31
2K Games,XCOM 2,2016,Strategy,0.16,0.1,0,0.05,0.31
Tecmo Koei,Dynasty Warriors 8: Xtreme Legends,2014,Misc,0.09,0.12,0.06,0.04,0.31
Koch Media,Cities: Skylines,2017,Simulation,0.15,0.07,0.04,0.05,0.3
Namco Bandai Games,Saint Seiya: Soldiers' Soul,2015,Fighting,0,0.21,0.05,0.04,0.3
Ubisoft,Just Dance 2018,2017,Music,0.1,0.15,0,0.05,0.3
Square Enix,The Walking Dead: Season Two,2014,Misc,0.13,0.09,0.03,0.05,0.3
Namco Bandai Games,Sword Art Online: Fatal Bullet,2018,Role-Playing,0.11,0.03,0.13,0.03,0.29
Bandai Namco Games,Naruto to Boruto: Shinobi Striker,2018,Action,0.19,0.03,0.02,0.05,0.29
Sold Out,Yooka-Laylee,2017,Platform,0.09,0.16,0,0.05,0.29
Warner Bros. Interactive Entertainment,Cars 3: Driven to Win,2017,Racing,0.06,0.18,0.01,0.04,0.29
Konami Digital Entertainment,Metal Gear Solid V: The Definitive Experience,2016,Action,0.13,0.08,0.03,0.04,0.29
Focus Home Interactive,Sherlock Holmes: Crimes & Punishments,2014,Adventure,0.1,0.14,0,0.05,0.29
Ubisoft,Star Trek Bridge Crew VR,2017,Action,0.11,0.12,0,0.05,0.28
Sony Computer Entertainment,The Heavy Rain and Beyond: Two Souls Collection,2016,Action,0,0.24,0,0.04,0.28
Focus Home Interactive,Spintires: MudRunner,2017,Simulation,0.11,0.12,0,0.05,0.28
NIS America,Onechanbara Z2: Chaos,2014,Action,0.16,0.03,0.05,0.04,0.28
Square Enix,Secret of Mana,2018,Role-Playing,0.06,0.12,0.05,0.04,0.28
Namco Bandai Games,Gundam Versus,2017,Action,0.08,0,0.18,0.02,0.28
EA Sports,NBA Live 14,2013,Sports,0.17,0.05,0,0.05,0.27
